Player,Pos,ADP,Min,Max,Range,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083
Shea Langeliers,C,58.62,52.0,68.0,16.0,60.0,57.0,63.0,63.0,58.0,67.0,59.0,,59.0,58.0,55.0,60.0,62.0,52.0,57.0,54.0,62.0,58.0,52.0,68.0,56.0,56.0
Rafael Devers,1B,59.84,46.0,85.0,39.0,62.0,60.0,54.0,57.0,50.0,63.0,57.0,48.0,58.0,56.0,,62.0,56.0,58.0,,63.0,46.0,67.0,67.0,57.0,,85.0
Devin Williams,P,60.48,41.0,75.0,34.0,57.0,47.0,48.0,41.0,57.0,75.0,61.0,58.0,43.0,,,,50.0,62.0,,48.0,41.0,49.0,,54.0,45.0,46.0
Freddy Peralta,P,60.81,35.0,68.0,33.0,55.0,61.0,68.0,64.0,64.0,58.0,35.0,56.0,63.0,,,49.0,68.0,67.0,55.0,57.0,55.0,57.0,,63.0,50.0,67.0
Roman Anthony,OF,62.3,47.0,72.0,25.0,52.0,68.0,52.0,58.0,54.0,64.0,72.0,54.0,47.0,48.0,,53.0,66.0,59.0,63.0,50.0,61.0,63.0,61.0,51.0,57.0,57.0
Ben Rice,C / 1B,63.46,47.0,72.0,25.0,72.0,58.0,53.0,49.0,60.0,47.0,66.0,60.0,,,,47.0,64.0,71.0,58.0,62.0,58.0,65.0,55.0,64.0,49.0,59.0
Joe Ryan,P,63.85,61.0,88.0,27.0,87.0,65.0,,72.0,88.0,70.0,,,65.0,,,,86.0,75.0,62.0,75.0,,,,61.0,66.0,68.0
George Kirby,P,65.58,56.0,78.0,22.0,71.0,,78.0,60.0,70.0,57.0,,57.0,64.0,,,67.0,75.0,57.0,64.0,70.0,68.0,64.0,56.0,65.0,61.0,75.0
Brice Turang,2B,67.46,40.0,71.0,31.0,69.0,56.0,55.0,40.0,62.0,53.0,46.0,61.0,54.0,49.0,,51.0,44.0,53.0,51.0,71.0,60.0,50.0,47.0,55.0,71.0,52.0
Freddie Freeman,1B,69.99,43.0,81.0,38.0,68.0,64.0,57.0,71.0,43.0,54.0,63.0,66.0,50.0,55.0,,66.0,80.0,68.0,60.0,67.0,69.0,59.0,66.0,69.0,70.0,81.0
Josh Naylor,1B,71.65,48.0,74.0,26.0,61.0,66.0,67.0,65.0,74.0,59.0,56.0,,57.0,53.0,,65.0,48.0,61.0,59.0,49.0,65.0,60.0,70.0,59.0,,65.0
Raisel Iglesias,P,73.33,63.0,93.0,30.0,93.0,,82.0,84.0,,,,,,,,,63.0,,,77.0,,,,,,73.0
Dylan Cease,P,73.88,59.0,93.0,34.0,,72.0,69.0,61.0,68.0,76.0,71.0,,,,,,93.0,89.0,,61.0,,,59.0,77.0,64.0,69.0
Hunter Goodman,C,74.12,54.0,87.0,33.0,80.0,,62.0,79.0,61.0,68.0,62.0,,71.0,,,,71.0,87.0,,76.0,64.0,,62.0,70.0,65.0,54.0
Riley Greene,OF,75.81,51.0,82.0,31.0,79.0,71.0,61.0,67.0,71.0,69.0,80.0,,66.0,,,64.0,67.0,60.0,,82.0,,51.0,,66.0,68.0,74.0
Austin Riley,3B,77.22,52.0,76.0,24.0,64.0,76.0,65.0,76.0,66.0,56.0,69.0,64.0,69.0,,,69.0,69.0,54.0,65.0,53.0,71.0,,68.0,53.0,52.0,58.0
Jesus Luzardo,P,77.62,67.0,88.0,21.0,76.0,,80.0,75.0,75.0,,,,67.0,,,,81.0,88.0,,84.0,70.0,,,79.0,,86.0
Jackson Merrill,OF,78.09,49.0,80.0,31.0,66.0,69.0,74.0,80.0,78.0,60.0,49.0,65.0,70.0,,,59.0,61.0,69.0,,69.0,,61.0,58.0,67.0,,62.0
Jarren Duran,OF,78.38,56.0,82.0,26.0,56.0,62.0,73.0,77.0,82.0,61.0,67.0,63.0,,57.0,,70.0,70.0,76.0,,73.0,,69.0,,71.0,,76.0
Carlos Estevez,P,80.0,84.0,92.0,8.0,92.0,,,,,,,,,,,,84.0,,,,,,,,,84.0
Byron Buxton,OF,83.99,67.0,88.0,21.0,70.0,,79.0,73.0,73.0,,77.0,67.0,,,,,88.0,82.0,,78.0,,,,,,77.0
